Id_cost,city,category,item,avg_price_egp,min_price_egp,max_price_egp
105,New Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,41500,30000,53000
106,New Cairo,Salaries And Financing,Average Monthly Net Salary (After Tax),6000,,
107,New Cairo,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",17.47,8,27.5
108,El Alamein,Restaurants,Meal at an Inexpensive Restaurant,250,150,500
109,El Alamein,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",750,700,950
110,El Alamein,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),160,150,200
111,El Alamein,Restaurants,Domestic Draft Beer (0.5 Liter),70,70,70
112,El Alamein,Restaurants,Cappuccino (Regular Size),72,30,120
113,El Alamein,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",18.75,15,20
114,El Alamein,Restaurants,Bottled Water (0.33 Liter),6,5,7
115,El Alamein,Markets,"Milk (Regular, 1 Liter)",49,35,55
116,El Alamein,Markets,Fresh White Bread (500 g Loaf),15.33,11,20
117,El Alamein,Markets,White Rice (1 kg),28.6,22,36
118,El Alamein,Markets,"Eggs (12, Large Size)",72,54,84
119,El Alamein,Markets,Local Cheese (1 kg),150,100,250
120,El Alamein,Markets,Chicken Fillets (1 kg),212,180,250
121,El Alamein,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),392.5,350,450
122,El Alamein,Markets,Apples (1 kg),85,25,150
123,El Alamein,Markets,Bananas (1 kg),35,25,57
124,El Alamein,Markets,Oranges (1 kg),25,20,25
125,El Alamein,Markets,Tomatoes (1 kg),18.33,10,25
126,El Alamein,Markets,Potatoes (1 kg),18.17,10,25
127,El Alamein,Markets,Onions (1 kg),21.4,15,25
128,El Alamein,Markets,Lettuce (1 Head),22.5,10,25
129,El Alamein,Markets,Bottled Water (1.5 Liter),10.71,10,12
130,El Alamein,Markets,"Cigarettes (Pack of 20, Marlboro)",112.5,100,125
131,El Alamein,Transportation,Taxi Start (Standard Tariff),17.5,9,20
132,El Alamein,Transportation,Taxi 1 km (Standard Tariff),25,15,30
133,El Alamein,Transportation,Taxi 1 Hour Waiting (Standard Tariff),50,50,50
134,El Alamein,Transportation,Gasoline (1 Liter),19.25,15,24
135,El Alamein,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1500000,1690000
136,El Alamein,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1216666.67,1150000,1250000
137,El Alamein,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1130,650,1700
138,El Alamein,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",212,100,1000
139,El Alamein,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",444,250,2050
140,El Alamein,Sports And Leisure,Cinema Ticket (International Release),150,120,200
141,El Alamein,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",1666.67,1666.67,1666.67
142,El Alamein,Clothing And Shoes,Jeans (Levi's 501 or Similar),860,400,2500
143,El Alamein,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2333.33,1000,3000
144,El Alamein,Clothing And Shoes,Nike Running Shoes (Mid-Range),5375,3000,10000
145,El Alamein,Clothing And Shoes,Men's Leather Business Shoes,4500,800,9000
146,El Alamein,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20,8,27
147,Al Arish,Restaurants,Meal at an Inexpensive Restaurant,200,100,300
148,Al Arish,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",700,500,3953.85
149,Al Arish,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),245,200,300
150,Al Arish,Restaurants,Domestic Draft Beer (0.5 Liter),77.5,50,150
151,Al Arish,Restaurants,Imported Beer (0.33 Liter Bottle),150,95,210
152,Al Arish,Restaurants,Cappuccino (Regular Size),68,30,150
153,Al Arish,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",19.56,15,30
154,Al Arish,Restaurants,Bottled Water (0.33 Liter),7.09,5,10
155,Al Arish,Markets,"Milk (Regular, 1 Liter)",46.33,30,67
156,Al Arish,Markets,Fresh White Bread (500 g Loaf),25,10,55
157,Al Arish,Markets,White Rice (1 kg),35.12,23,50
158,Al Arish,Markets,"Eggs (12, Large Size)",73.78,60,84
159,Al Arish,Markets,Local Cheese (1 kg),135,50,200
160,Al Arish,Markets,Chicken Fillets (1 kg),207.12,170,249
161,Al Arish,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),410.83,350,495
162,Al Arish,Markets,Apples (1 kg),80,30,100
163,Al Arish,Markets,Bananas (1 kg),31.25,25,50
164,Al Arish,Markets,Oranges (1 kg),21.67,10,30
165,Al Arish,Markets,Tomatoes (1 kg),17.67,5,40
166,Al Arish,Markets,Potatoes (1 kg),24,10,35
167,Al Arish,Markets,Onions (1 kg),25,15,30
168,Al Arish,Markets,Lettuce (1 Head),12.4,5,24
169,Al Arish,Markets,Bottled Water (1.5 Liter),10,7,15
170,Al Arish,Markets,Bottle of Wine (Mid-Range),225,200,250
171,Al Arish,Markets,Domestic Beer (0.5 Liter Bottle),72.5,55,90
172,Al Arish,Markets,Imported Beer (0.33 Liter Bottle),85,85,85
173,Al Arish,Markets,"Cigarettes (Pack of 20, Marlboro)",100,80,150
174,Al Arish,Transportation,Taxi Start (Standard Tariff),15,15,50
175,Al Arish,Transportation,Taxi 1 km (Standard Tariff),16,6,20
176,Al Arish,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100,100,100
177,Al Arish,Transportation,Gasoline (1 Liter),18.54,13,24
178,Al Arish,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1690000,1690000
179,Al Arish,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1441666.67,1300000,1700000
180,Al Arish,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",936.55,578,1342.11
181,Al Arish,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",403.33,300,500
182,Al Arish,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",1000,700,2000
183,Al Arish,Sports And Leisure,Cinema Ticket (International Release),250,150,350
184,Al Arish,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4833.33,3000,6000
185,Al Arish,Childcare,"International Primary School, Annual Tuition per Child",123750,95000,150000
186,Al Arish,Clothing And Shoes,Jeans (Levi's 501 or Similar),866.67,300,1000
187,Al Arish,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),3125,1500,5000
188,Al Arish,Clothing And Shoes,Nike Running Shoes (Mid-Range),4250,2500,15000
189,Al Arish,Clothing And Shoes,Men's Leather Business Shoes,2575,1000,5000
190,Al Arish,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20,15,25
191,Al-hawamidiyah,Restaurants,Meal at an Inexpensive Restaurant,200,120,500
192,Al-hawamidiyah,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800,500,1500
193,Al-hawamidiyah,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250,200,250
194,Al-hawamidiyah,Restaurants,Domestic Draft Beer (0.5 Liter),72.5,60,110
195,Al-hawamidiyah,Restaurants,Imported Beer (0.33 Liter Bottle),150,90,200
