Property_id,category,governorate,city,location_full,location_name,property_type,Title,Business_Type,price_egp,price_period,price_per_sqm,size_sqm,latitude,longitude
69560502,Shop,Cairo,New Cairo,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Lake View Residence,Shop,HOT DEAL Duplex 438m Rent Golden Square Lake View,General Commercial Shop,600000,monthly,1369.86,438,30.02614594,31.53697395
69560420,Shop,Giza,Sheikh Zayed,"Za Mall, Waslet Dahshur Road, Sheikh Zayed City, Giza",Za Mall,Shop,Retail Shop  in ZMall - High Visibility Location,General Commercial Shop,55000,monthly,1375,40,30.01588821,30.97442245
69560418,Shop,Giza,6Th Of October,"Centrada Hub, 26th of July Corridor, 6 October City, Giza",Centrada Hub,Shop,Retail Shop  in ZMall - High Visibility Location,General Commercial Shop,55000,monthly,1375,40,30.00836372,30.98381615
69315086,Shop,Cairo,Cairo,"Africa   Emtedad Moustafa Al Nahas, 9th Zone, Nasr City, Cairo",Africa   Emtedad Moustafa Al Nahas,Shop,"Commercial space in Nasr City, Africa Street,",General Commercial Shop,650000,monthly,590.91,1100,30.05765915,31.37534904
69315088,Shop,Cairo,Cairo,"Zaker Hussein St., Al Hadiqah Al Dawliyah, 7th District, Nasr City, Cairo",Zaker Hussein St.,Shop,"Shop for rent on Zaker Hussein Main Street,",General Commercial Shop,60000,monthly,300,200,30.04458618,31.33919907
69315084,Shop,Cairo,Cairo,"Mostafa Al Nahas St., 6th Zone, Nasr City, Cairo",Mostafa Al Nahas St.,Shop,"Luxury commercial space in a prime location,",General Commercial Shop,200000,monthly,615.38,325,30.05398369,31.3391037
69315087,Shop,Cairo,Cairo,"Makram Ebeid St., 6th Zone, Nasr City, Cairo",Makram Ebeid St.,Shop,"A commercial shop in Nasr City,",General Commercial Shop,320000,monthly,640,500,30.0675106,31.34418106
72453976,Shop,Alexandria,Alexandria,"Miami, Hay Awal El Montazah, Alexandria",Miami,Shop,Licensed shop for rent + open space,General Commercial Shop,10000,monthly,222.22,45,31.26502419,29.99445724
71917588,Shop,Cairo,New Cairo,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",North Teseen St.,Shop,Shop +private Terrace for rent direct on 90st,General Commercial Shop,519000,monthly,1827.46,284,30.07310104,31.53912735
69311896,Shop,Cairo,Cairo,"East Park, Nasr City Compounds, Nasr City, Cairo",East Park,Shop,*Shop for Rent - 57 sqm in East Park Compound,General Commercial Shop,22000,monthly,385.96,57,30.03736115,31.36288834
71909075,Shop,Cairo,New Cairo,"South Teseen St., The 5th Settlement, New Cairo City, Cairo",South Teseen St.,Shop,Shop 290 SQM for rent at 90st in New Cairo at 5th,General Commercial Shop,450000,monthly,1551.72,290,29.96693993,31.54563713
